"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GLP2R",27.2796121823226,-7.71526878943439,1.4824942884345,-5.20424857594672,2.95530539822991e-06,0.000271652300993676
"ADIPOQ",136397.929705801,-7.66862385723091,1.47046139558057,-5.21511403174454,2.88129014400817e-06,0.00026769663966992
"FHL5",342.806687742475,-3.6741473234929,0.519303086260989,-7.0751501785729,1.30596141493974e-07,2.01502850103336e-05
"ONECUT2",203.686456198779,4.85136609915774,1.00494626027663,4.82748808659911,6.34499110998669e-05,0.00336342918318037
"KIF23",1371.73213645486,4.21411103842184,0.806664538265288,5.22411837699496,3.38189635232392e-05,0.0020724308817202
"KIAA0101",565.935405815772,4.29970826443091,0.933964691361825,4.60371607641982,0.000205434033658354,0.00816116215091958
"DLGAP5",1043.59502883726,5.43354837614658,1.13608669191201,4.78268816528606,4.76147453750265e-05,0.00271561193011826
"MELK",1346.27162641355,5.51874899974448,0.984235249674303,5.6071442285477,2.20431269939146e-06,0.000214004088529123
"GINS1",776.775942223488,3.43882064002746,0.644792668271495,5.33321920245458,7.7682640142285e-05,0.00389111218637341
"KIF14",507.337154833664,4.95955297246309,1.01428444747303,4.88970622079361,4.73511834324201e-05,0.00270952251952202
"NAALAD2",439.984872743271,-4.5601390913377,0.705671487491134,-6.46212745189736,2.26716259327121e-07,3.18527128246502e-05
"TROAP",465.135483397121,5.00496555642507,0.970173735596411,5.15883431264843,1.82896623402906e-05,0.00122505292597892
"SGK2",520.860578045786,-4.05094163874845,0.881397484508969,-4.59604402093938,0.000268609899195894,0.00977231088000893
"KIF20A",1026.1792801109,4.76171433669601,0.913575801389707,5.21217213662251,1.91443709574988e-05,0.00127243797890975
"FAM13A",7126.78542640036,-4.0801669280789,0.697535546189311,-5.84940359006671,5.03220663141106e-06,0.000426282170575562
